infinitive;Simple Past;Past participle;trad_fr;hint_fr;trad_de;hint_de;hint_eng;trad_es;hint_es
break;broke;broken;casser;Mettre en morceaux, volontairement ou non, par choc, par pression ou par mouvement violent.;(zer)brechen, kaputt machen;;;romper;
breed;bred;bred;élever, se reproduire;Engendrer, procréer.;brüten, züchten;;;criar;
bring;brought;brought;apporter;Scapin, … moi ce cadeau que madame bovary nous a envoyé.;bringen;;;traer;
broadcast;broadcast / broadcasted;broadcast / broadcasted;diffuser, émettre;Transmettre par le moyen des ondes radio-électriques. Une radio … une émition.;senden, ausstrahlen, übertragen;;;transmitir, emitir;
build;built;built;construire;Réaliser un édifice, un ouvrage d'art selon un plan déterminé. Ex: … une maison.;bauen;;;construir;
burn;burned / burnt;burned / burnt;brûler, brûle;Le feu … .;(ver)brennen;;;quemar;
burst;burst;burst;éclater,exploser;Elle … de colère.;platzen, aufplatzen;;;reventar(se), romper(se);
buy;bought;bought;acheter;Obtenir contre paiement la propriété et l'usage.;kaufen;;;comprar;
can;could;;pouvoir;Être capable de faire quelque chose. Ex: Elle … prendre la jarre de bonbons.;können;;;poder;
cast;cast;cast;lancer, jeter;Envoyer loin (de soi), généralement dans une direction et un but déterminés, et avec une certaine force.;jmdm. eine Rolle geben, arbeiten;;;echar, lanzar;
catch;caught;caught;attraper;Arriver à prendre (littéralement dans une trappe ou comme dans une trappe), saisir rapidement, d'un mouvement brusque. Ex: … son bus.;fangen;;;coger, agarrar;
chide;chided / chid;chided / chidden;gronder, réprimander;Il … son chat après que celui-ci ait renversé le sucre sur la table.;schelten;;;reprender;
choose;chose;chosen;choisir;elle … cette voiture pour sa couleur.;wählen;;;elegir;
cleave;cleft / cleaved, clove;cleft / cleaved, cloven;fendre;Il … fendit les bûches avec sa hache.;spalten;;;lascar, rachar;
cling;clung;clung;suspendre;Faire tenir une chose de manière à ce qu'elle pende. Ex: … la viande pour qu'elle sèche.;an etw. festhalten, hängen;;;pegarse, agarrarse;
clothe;clothed / clad;clothed / clad;habiller, recouvrir;Il … chaudement car il fait froid dehors.;einkleiden, umhüllen;;;vestir;
come;came;come;venir;…-tu à ma fête d'anniversaire.;kommen;;;venir, llegar;
cost;cost;cost;coûter;Cela vous … cher.;kosten;;;costar, valer;
creep;crept;crept;ramper;Le serpent est un reptil qui … au sol.;kriechen, schleichen;;;arrastrarse;
crow;crowed;crowed / crew;chanter;Le coq … tous les matins.;krähen, jubeln, prahlen;;;cacarear, alardear;
cut;cut;cut;couper;Elle a … le ruban de l'inauguration de la salle.;schneiden;;;cortar;
deal;dealt;dealt;distribuer, traiter;Ils … de la nourriture au pauvres.;etw. austeilen;;;tramitar, operar;
dig;dug;dug;creuser, fouiller;Faire une cavité en enlevant de la matière.;graben;;;cavar, excavar;
dive;dived / dove (US);dived;plonger;Enfoncer, faire entrer un corp dans l'eau ou dans un liquide (partiellement ou totalement). Ex: S'enfoncer dans l'eau en bouteille.;tauchen;;;tirarse, sumergirse;
do;did;done;faire;Créer, donner l'être et la vie à.;tun;;;hacer;
draw;drew;drawn;dessiner;Elle … une image avec des crayons de couleurs.;zeichnen;;;tirar, sacar;
dream;dreamt / dreamed;dreamt / dreamed;rêver;Ce que l'on fait en dormant.;träumen;;;soñar;
drink;drank;drunk;boire;Avaler un liquide.;trinken;;;beber, tomar;
drive;drove;driven;conduire;Emmener vers un lieu déterminé. Ex: Avec une voiture.;fahren;;;conducir;
dwell;dwelt / dwelled;dwelt / dwelled;habiter, demeurer;Occuper habituellement un lieu. Ex: Vivre dans une maison.;wohnen, hausen;;;morar, vivir;
eat;ate;eaten;manger;Quand on a faim, on … .;essen;;;comer;
fall;fell;fallen;tomber;Être entraîné vers le bas sous l'effet de la pesanteur. Ex: Le parachutiste … .;fallen;;;reprobar;
feed;fed;fed;nourrir;Fournir les aliments nécessaires. Ex: Quand un enfant à faim, on le … .;füttern;;;alimentar;
feel;felt;felt;(res)sentir;Éprouver une sensation physique, en tant que telle, agréable ou désagréable;fühlen;;;sentir;
fight;fought;fought;se battre, combattre;Quand deux personnes sont en désacord, elles se … .;(be)kämpfen;;;luchar, pelear;
find;found;found;trouver;Découvrir quelque chose, quelqu'un que l'on cherchait.;finden;;;encontrar;
fit;fit / fitted;fit / fitted;aller à, convenir;Cela me va.;passen;;;quedar (de ropa);
flee;fled;fled;s’enfuir;Se sauver en toute hâte pour échapper à une personne, à une chose, importunes ou menaçantes. Ex: … d'un pays. Prendre ses jambes à son cou.;flüchten;;;huir;
fling;flung;flung;jeter, lancer;Envoyer un objet (dans une direction), le plus souvent de manière violente ou agressive et pour atteindre un but.;schleudern, werfen;;;lanzar, arrojar;
fly;flew;flown;voler (air);Un avion,ça … .;fliegen;;;volar;
forbid;forbade;forbidden;interdire;Défendre absolument, refuser le droit à (l'usage, la pratique de quelque chose) par un impératif d'ordre individuel ou collectif.;verbieten;;;prohibir;
forecast;forecast;forcast;prévoir;Voir, juger et éventuellement annoncer qu'une chose arrivera. Ex: La météo.;hochrechnen, prognostizieren;;;pronosticar;
forget;forgot;forgotten;oublier;Perdre, de façon volontaire ou non, définitive ou momentanée, normale ou pathologique, le souvenir d'une personne ou d'une chose.;vergessen;;;olvidar;
forgive;forgave;forgiven;pardonner;Considérer pour non avenu(e) un manquement, une faute, une offense en n'en tenant pas rigueur à l'auteur et en n'en gardant aucun ressentiment.;vergeben;;;perdonar, disculpar;
forsake;forsook;forsaken;abandonner;Renoncer à un pouvoir, à des droits, à la possession d'un bien ou à l'utilisation d'une chose. Ex: Quitter un lieu, ne plus l'occuper.;jmdn./etw. aufgeben, im Sich lassen;;;abandonar;
freeze;froze;frozen;geler;"Solidifier un liquide; le transformer en glace.";frieren;;;helar;
geld;gelded / gelt;gelded / gelt;castrer;Rendre (un animal) volontairement stéril.;kastrieren;;;castrar;
get;got;got;obtenir;Parvenir à se faire accorder, à se faire donner (ce que l'on veut avoir, ce que l'on demande).;bekommen;;;conseguir;
gild;gilded / gilt;gilded / gilt;dorer;Corrompre (quelqu'un). Recouvrir d'une couche d'or la (les) tranche(s) d'un livre, pour lui (leur) donner plus d'élégance et la (les) protéger de la poussière.;vergolden, beschönigen;;;dorar;
give;gave;given;donner;Céder gratuitement et volontairement la propriété d'une chose.;geben, schenken;;;dar;
gnaw;gnawed;gnawed / gnawn;ronger;Grignoter avec les incisives, en vue de se nourrir.;nagen;;;roer;
go;went;gone;aller;Se déplacer.;gehen, fahren;;;ir;
grind;ground;ground;moudre;"Broyer (des grains); réduire en poudre ou en fines parcelles.";abschleifen, glätten;;;moler, picar;
grip;gripped / gript;gripped / gript;agripper;Saisir vivement de manière à ne plus lâcher l'objet saisi.;ergreifen, packen;;;asir;
grow;grew;grown;grandir, pousser;Devenir plus grand.;wachsen, anbauen;;;crecer;
hang;hung;hung;accrocher;Suspendre une chose à un crochet, ou l'attacher à l'aide d'un crochet.;(auf) hängen;;;colgar;
have;had;had;avoir;Être en possession de…;haben;;;tener;
hear;heard;heard;entendre;Percevoir par l'oreille.;hören;;;oir;
heave;heaved / hove;heaved / hove;se soulever;Déplacer (quelque chose) de bas en haut, lever légèrement au-dessus du sol, du support, du point d'appui. Ex: Pour porter qqchose il faut d'abbord le … .;stemmen;;;tirar, estirar;
hew;hewed;hewed / hewn;tailler;Couper, trancher. Ex: … une sculpture.;hauen, hacken;;;labrar, tallar;
hide;hid;hidden;(se) cacher;Dissimuler ses projets, le but qu'on s'est fixé et les moyens d'y parvenir.;(sich)verstecken;;;esconder;
hit;hit;hit;frapper;Asséner des coups. Ex: Giffler.;schlagen, treffen;;;golpear;
hold;held;held;tenir;Disposer de quelqu'un, être en possession de quelque chose, être en état de garder cette chose. Ex:  Avoir qqchose entre ses mains revient à le … .;halten;;;tener, abrazar;
hurt;hurt;hurt;blesser;Offenser, choquer, déplaire, faire du mal. Ex: Offenser l'honneur d'une personne revient à la … .;verletzen, weh tun;;;lastimar, perjudicar, doler;
keep;kept;kept;garder;Protéger. Tenir quelqu'un ou quelque chose en sa garde.;(be)halten, einhalten;;;guardar;
kneel;kneeled / knelt;kneeled / knelt;s’agenouiller;Se mettre à genoux revient à … .;knien, hinknien;;;arrodillarse;
knit;knitted / knit;knitted / knit;tricoter;Exécuter (quelque chose) à la main ou à la machine, en constituant un tissu formé de mailles. Ex: Les grand-mères … souvent des pulls pour l'hiver.;stricken;;;hacer, tricotar, tejer;
know;knew;known;savoir;Connaitre se leçon revient à la … .;"kennen; wissen; erkennen";;;conocer;
lade;laded;laded / laden;charger;Mettre quelque chose ou quelqu'un sur. Ex: Mettre les valises dans la voiture revient à la … .;(be)laden, aufladen;;;cargar de;
lay;laid;laid;étendre, mettre;Mettre (un organe articulé, un objet de forme allongée) en position horizontale. Ex: Les médecins … le malade sur le brancard.;legen, setzen, stellen;;;poner, colocar;
lead;led;led;mener;Faire aller quelqu'un quelque part en l'y accompagnant, en l'y conduisant (de force ou avec son assentiment). Ex: Tu t'es fait … par le bout du nez.;führen, leiten;;;llevar, guiar;
lean;leaned / leant;leaned / leant;(s’)appuyer, pencher;Être oblique par rapport à la verticale, incliné sur le côté, généralement de manière anormale et en donnant l'impression d'un mouvement (possible) vers le bas. Ex: Ne te … par-dessus la barrière.;tendieren, sich neigen;;;apoyarse;
leap;leaped / leapt;leaped / leapt;sauter, bondir;Se détacher un bref moment de l'endroit où l'on est par une brusque détente du corps et exécuter ainsi un déplacement pour franchir un espace ou un obstacle. Ex: Ne … sur le lit car tu risque de te faire mal.;springen, hervorspringen;;;saltar;
learn;learnt / learned;learnt / learned;apprendre;Acquérir la connaissance d'une chose par l'exercice de l'intelligence, de la mémoire, des mécanismes gestuels appropriés, etc. Ex: … la naissance d'un proche.;lernen;;;aprender;
leave;left;left;partir, laisser;Contraire de rester.;weggehen, verlassen;;;dejar, abandonar;
lend;lent;lent;prêter;Mettre une chose à la disposition de quelqu'un à condition qu'il la rendra.;(ver- ,aus)leihen;;;prestar;
let;let;let;laisser, permettre;Vouloir bien que quelque chose se passe, donner son accord, son consentement.;(zu)lassen;;;dejar;
lie;lay;lain;être étendu;En position allongée. Ex: Il ne pouvait ... ses jambes correctement;liegen;;;tenderse, acostarse;
light;lit / lighted;lit / lighted;allumer;Produire une lumière artificielle. Ex: Elle … les bougies.;anmachen, anzünden;;;encender, iluminar;
lose;lost;lost;perdre;Être privé provisoirement ou définitivement de. Ex: Il cherche sa montre qu'il a … hier.;verlieren;;;perder;
make;made;made;faire, fabriquer;Créer, donner l'être et la vie à. Ex: Joseph Cugnot … la première voiture. Tous les matins, le boulager … la pâte.;machen;;;hacer, crear;
may;might;;pouvoir;Avoir une possibilité d'action mais ce n'est pas une certitude que l'action se réalisera. Ex: Si tu me donne de l'argent, je … achetter le pain.;können, könnte;;;poder;
mean;meant;meant;signifier;"Manifester, indiquer, vouloir dire quelque chose; avoir pour sens. Ex: Si tu es fatigué, cela s… que tu n'as pas assez dormis.";meinen, bedeuten;;;significar;
meet;met;met;rencontrer;Se trouver en présence de quelqu'un en allant au devant de lui, de manière voulue, préméditée. Ex: Nous nous sommes … dans un bar.;(sich) treffen, kennenlernen;;;encontrar;
melt;melted;melted / molten;fondre;Soumettre (un corps solide) à l'action d'une source de chaleur afin de (le) liquéfier. Ex: Quand elle apprit la nouvelle, elle … en larmes.;schmelzen;;;derretir;
misunderstand;misunderstood;misunderstood;mal comprendre;Interpréter de manière erronée. Ex: Tu as … … ta leçon.;mißverstehen;;;entender mal;
mow;mowed;mowed / mown;tondre;Couper à ras les cheveux d'une personne. Ex: As-tu … la pelouse ce matin, l'herbe est trop haute.;mähen;;;segar, cortar;
offset;offset;offset;contrebalancer;Égaler, neutraliser par une action de sens contraire. Ex: L'ensemble des métropoles occitanes n'est pas en mesure de ... le poids de Paris, l'une des deux métropoles européennes majeures, afin de rééquilibrer le territoire français.;absetzen;;;compensar;
outbid;outbid;outbid;surenchérir;Aller plus loin dans les promesses, dans les affirmations, dans les actes. Ex: Lors d'une enchère les adversaires … le prix de l'autre.;ausreizen, überbieten;;;pujar más alto que;
overtake;overtook;overtaken;dépasser;Aller au-delà de quelque chose ou de quelqu'un. Ex: Sur la route, quand la voiture (n°2) va plus vite que la voiture (n°1), la voiture n°2 … la voiture n°1.;überholen;;;adelantar;
pay;paid;paid;payer;Verser une somme d'argent en échange de quelque chose (objet, travail, loisir). Ex: … ses factures.;(be)zahlen;;;pagar;
pen;penned / pent;penned / pent;stylo;Outil contemporain servant à écrire. Ex: Pour écrire prends ton … .;niederschreiben;;;escribir, redactar;
plead;pleaded / pled;pleaded / pled;implorer, plaider;Supplier d'une manière pressante.  Ex: … le pardon de quelqu'un.;dringend bitten, flehen;;;aducir, suplicar;
prove;proved;proved / proven;prouver;Établir, de manière irréfutable et au moyen de faits, de témoignages, de raisonnements, la vérité ou la réalité de (quelque chose). Ex: Le scientifique … que le journaliste avait tord.;prüfen;;;demonstrar, probar;
put;put;put;mettre, poser;Mettre dans un endroit qui assure un support, un appui. Ex: Elle … son verre sur la table et dit: … ton couteau.;stellen, setzen, legen;;;poner;
quit;quit;quit;abandonner, démissionner;Renoncer officiellement à une fonction, à une charge, à une dignité. Ex: Il … si subitement de son travail que personne ne compris pourquoi.;aufhören;;;renunciar, abandonar;
read;read;read;lire;Établir la relation entre les séquences de signes graphiques (alphabétiques, idéographiques) d'un texte et les signes linguistiques propres à une langue naturelle (phonèmes, mots, marques grammaticales). Ex: Elle … un livre sur les escargots.;(vor)lesen;;;leer;
rid;rid / ridded;rid / ridded;débarrasser;Enlever, retirer. Ex: Il se … de sont manteau car il avait trop chaud.;loswerden;;;deshacerse de;
ride;rode;ridden;monter (à vélo...);;reiten, (Rad)fahren;;;montar, pasear;
ring;rang;rung;sonner;;klingeln;;;sonar;
rise;rose;risen;se lever (soleil);;steigen;;;levantarse, elevarse;
run;ran;run;courir;;rennen;;;correr;
saw;sawed;sawed / sawn;scier;;sägen;;;serrar;
say;said;said;dire;;sagen;;;decir;
see;saw;seen;voir;;sehen;;;ver, mirar;
seek;sought;sought;chercher;;suchen, ermitteln;;;buscar;
sell;sold;sold;vendre;;verkaufen;;;vender;
send;sent;sent;envoyer;;schicken, senden;;;enviar;
set;set;set;mettre, congurer;;stellen, setzen, legen;;;poner;
sew;sewed;sewed / sewn;coudre;;nähen;;;coser;
shake;shook;shaken;secouer, trembler;;schütteln, zittern;;;sacudir, mover;
shall;should;;vouloir, devoir;;werden, sollen;;;deber;
shave;shaved;shaved / shaven;se raser;;rasieren;;;afeitar(se), rasurar(se);
shear;sheared;sheared / shorn;tondre (mouton);;abkanten, abscheren;;;esquilar;
shed;shed;shed;verser, perdre, répandre;;haaren, sich häuten;;;derramar;
shine;shone / shined;shone / shined;briller;;scheinen;;;brillar;
shit;shit / shitted / shat;shit / shitted / shat;merder;;scheißen;;;cagar;
shoe;shod / shoed;shod / shoed;ferrer (cheval);;beschlagen;;;mostrar;
shoot;shot;shot;tirer;;(er)schießen;;;pegar un tiro a;
show;showed;shown;montrer;;zeigen;;;mostrar;
shred;shred / shredded;shred / shredded;répandre, laisser tomber;;zerfetzen, schreddern;;;retalhar, triturar;
shrink;shrank / shrunk;shrunk;rétrécir;;schrumpfen, eingehen;;;encoger;
shut;shut;shut;fermer;;schließen;;;cerrar;
sing;sang;sung;chanter;;singen;;;cantar;
sink;sank;sunk;couler, sombrer;;sinken;;;hundir;
sit;sat;sat;être assis;;sitzen;;;sentar;
slay;slew;slain;tuer;;erlegen, umbringen;;;matar;
sleep;slept;slept;dormir;;schlafen;;;dormir;
slide;slid;slid;glisser;;abgleiten, abrutschen;;;deslizarse, resbalar;
sling;slung;slung;lancer, jeter, suspendre;;schleudern, werfen;;;lanzar;
slink;slinked / slunk;slinked / slunk;partir honteusement;;schleichen;;;zafarse;
slit;slit;slit;fendre, inciser;;aufschlitzen, schlitzen;;;cortar, abrir;
smell;smelt / smelled;smelt / smelled;sentir (odeur);;riechen;;;oler;
smite;smote;smitten;frapper, châtier;;jmdn. befallen, peinigen;;;golpear;
sow;sowed;sowed / sown;semer;;sähen;;;sembrar;
speak;spoke;spoken;parler;;sprechen;;;hablar;
speed;sped / speeded;sped / speeded;aller vite, précipiter;;eilen, schnell fahren;;;correr a toda prisa;
spell;spelled / spelt;spelled / spelt;épeler;;buchstabieren;;;deletrear;
spend;spent;spent;passer, dépenser;;verbringen, ausgeben (Geld);;;gastar;
spill;spilled / split;spilled / split;renverser, (se) répandre;;auslaufen, ausschütten;;;derramar;
spin;spun;spun;tourner, tisser (toile);;drehen, kreiseln;;;hacer girar;
spit;spitted / spat;spitted / spat;cracher;;fauchen, speien, spucken;;;espetar, soltar;
split;split;split;(se) fendre, (se) diviser;;teilen, spalten;;;dividir;
spoil;spoilt;spoilt;gâcher, gâter;;verderben, verschandeln;;;arruinar;
spread;spread;spread;étendre, étaler;;(sich) ausbreiten;;;tender, desplegar;
spring;sprang / sprung;sprung;bondir, provenir de;;abfedern, federn;;;saltar;
stand;stood;stood;être debout;;stehen;;;pararse, estar de pie;
stave (in/off);stove / staved;stove / staved;evitar, aplazar;;einschlagen, abfangen;;;evitar, aplazar;
steal;stole;stolen;dérober, voler;;stehlen, klauen;;;robar;
stick;stuck;stuck;coller, enfoncer;;anheften, befestigen;;;pegar;
sting;stung;stung;piquer, brûler;;stechen;;;picar;
stink;stank / stunk;stunk;puer;;stinken;;;apestar;
strew;strewed;strewed / strewn;éparpiller, joncher;;(be)streuen;;;esparcir;
stride;strode;stridden;marcher à grands pas;;schreiten;;;andar a pasos largos;
strike;struck;struck / stricken;frapper, sonner;;schlagen, anzünden, streiken;;;golpear, pegar;
string;strung;strung;enler (perles);;aufreihen, besaiten;;;ensartar, encordar;
strive;strove / strived;striven / strived;s' efforcer de;;sich anstrengen / bemühen;;;esforzarse;
swear;swore;sworn;jurer;;schwören;;;jurar;
sweep;swept;swept;balayer;;kehren, fegen;;;barrer;
swell;swelled;swelled / swollen;gonfler, enfler;;(an)schwellen;;;hincharse;
swim;swam;swum;nager;;schwimmen;;;nadar;
swing;swung;swung;(se) balancer;;schaukeln, schwingen, sich drehen;;;mecer;
take;took;taken;prendre;;(mit)nehmen;;;tomar;
teach;taught;taught;enseigner;;unterrichten, lehren;;;enseñar;
tear;tore;torn;(se) déchirer;;auseinanderreißen, tränen;;;rasgar, romper;
telecast;telecast / telecasted;telecast / telecasted;émission de télévision;;übertragen (Fernsehen);;;televisar;
tell;told;told;raconter;;"sagen, nennen; erzählen";;;decir;
think;thought;thought;penser;;meinen, denken;;;pensar;
thrive;throve / thrived;thriven / thrived;se développer, s’épanouir;;Erfolg haben, florieren;;;prosperar;
throw;threw;thrown;lancer;;werfen;;;arrojar, echar;
thrust;thrust;thrust;pousser violemment;;stoßen, hauen;;;empujar, clavar;
tread;trod;trod / trodden;marcher, parcourir;;betreten, schreiten;;;pisar;
understand;understood;understood;comprendre;;verstehen, begreifen;;;entender, comprender;
upset;upset;upset;renverser, contrarier;;verärgern, beunruhigen;;;afectar, disgustar;
wake up;woke up;woken up;(se) réveiller;;aufwachen, (auf) wecken;;;despertar;
wear;wore;worn;porter (vêtement);;(Kleidung) tragen;;;usar, vestir;
weave;weaved / wove;weaved / woven;tisser, tresser;;sich schlängeln;;;tejer;
wed;wed / wedded;wed / wedded;épouser, marier;;heiraten;;;casar;
weep;wept;wept;pleurer;;triefen, weinen;;;llorar;
wet;wet / wetted;wet / wetted;mouiller;;nass machen, befeuchten;;;mojar;
win;won;won;gagner;;gewinnen;;;ganar;
wind;wound;wound;serpenter, enrouler;;ab-, aufspulen;;;dejar sin aliento, ovillar;
wring;wrung;wrung;tordre, essorer, arracher;;abbringen, auspressen;;;torcer;
write;wrote;written;écrire;;schreiben;;;escribir;
